k,residual_dyn_norm,residual_out_norm,residual_total_norm,exact_solution,used_lstsq,solver_mode,requested_mode_fallback,u_applied_minus_u_s_norm,u_applied_minus_u_s_phys_norm,y_current_minus_y_s_norm,y_current_minus_y_s_phys_norm,y_s_minus_y_sp_norm,xhat_minus_x_s_norm,dhat_minus_d_s_norm
707,1.388159893277059e-17,2.7755575615628914e-17,3.163382003532948e-17,True,False,stacked_exact,False,14.753200638628128,590.1280255451251,0.07667638770872136,0.04950016178930608,0.0,4.518759238642492,0.0
708,1.0842021724855044e-19,5.551115123125783e-17,5.552113453873531e-17,True,False,stacked_exact,False,14.851022202782442,594.0408881112977,0.07708248977883841,0.04977001001966898,0.0,4.546963712329896,0.0
709,1.734723475976807e-18,0.0,6.770339877767479e-18,True,False,stacked_exact,False,14.947579039762886,597.9031615905154,0.07748345670631701,0.05003657372030848,0.0,4.574771553582518,0.0
710,2.2768245622195593e-18,0.0,4.7208583487692896e-18,True,False,stacked_exact,False,15.042836517484224,601.713460699369,0.07787942697924742,0.050299984019621054,0.0,4.602210110389886,0.0
711,1.6263032587282567e-18,6.938893903907228e-18,7.96317947703102e-18,True,False,stacked_exact,False,15.136822176501578,605.472887060063,0.07827049743192406,0.05056033743171703,0.0,4.629269016389354,0.0
712,5.421010862427522e-19,2.8609792490763984e-17,2.906917076125891e-17,True,False,stacked_exact,False,15.22955358999165,609.182143599666,0.07865668111279697,0.050817643913213036,0.0,4.655944250536678,0.0
713,2.2768245622195593e-18,0.0,5.563500374464438e-18,True,False,stacked_exact,False,15.321011768211388,612.8404707284557,0.07903797715771083,0.05107188394026422,0.0,4.682255830264065,0.0
714,1.951563910473908e-18,0.0,6.73926578330427e-18,True,False,stacked_exact,False,15.411175877173868,616.4470350869548,0.07941457215566176,0.05132321800758323,0.0,4.708228215741709,0.0
715,9.75781955236954e-19,0.0,5.760359701671047e-18,True,False,stacked_exact,False,15.500105802335623,620.004232093425,0.07978647733770868,0.0515716435711595,0.0,4.733835489233871,0.0
716,1.6195309645047762e-17,0.0,1.7375321496156696e-17,True,False,stacked_exact,False,15.58779691707912,623.5118766831648,0.08015367594922151,0.05181711519186175,0.0,4.759094871124642,0.0
717,3.7947076036992655e-18,6.938893903907228e-18,9.413265526983244e-18,True,False,stacked_exact,False,15.67423385164629,626.9693540658517,0.0805163433768368,0.05205977111118474,0.0,4.784036400808891,0.0
718,3.0357660829594124e-18,5.551115123125783e-17,5.564671164504939e-17,True,False,stacked_exact,False,15.759472848794807,630.3789139517924,0.08087450079557226,0.052299608212780575,0.0,4.808638334005237,0.0
719,1.6263032587282567e-18,6.938893903907228e-18,8.165133265583617e-18,True,False,stacked_exact,False,15.843525985041811,633.7410394016724,0.0812282445432161,0.05253669204664471,0.0,4.832916225799489,0.0
720,3.0357660829594124e-18,2.7755575615628914e-17,2.8500434710272106e-17,True,False,stacked_exact,False,15.926422225089896,637.0568890035958,0.08157757798261497,0.05277099646176829,0.0,4.856870204348493,0.0
721,1.393864076242399e-17,5.551115123125783e-17,5.688015776788657e-17,True,False,stacked_exact,False,16.00815892931717,640.3263571726869,0.08192259614779387,0.05300257913602411,0.0,4.880523082983909,0.0
722,5.421010862427522e-19,2.7755575615628914e-17,2.841692534398017e-17,True,False,stacked_exact,False,16.08876769992045,643.5507079968179,0.08226334149183939,0.05323144857596251,0.0,4.903874092176433,0.0
723,4.7704895589362195e-18,5.551115123125783e-17,5.572231537757119e-17,True,False,stacked_exact,False,16.16826322693986,646.7305290775946,0.08259997017119268,0.05345772772359172,0.0,4.9269335756774035,0.0
724,1.0842021724855044e-19,2.7755575615628914e-17,2.777493804977771e-17,True,False,stacked_exact,False,16.24670177910365,649.868071164146,0.08293249166859436,0.053681402909988726,0.0,4.949683615144073,0.0
725,1.3960550252992727e-17,2.7755575615628914e-17,2.91165665919037e-17,True,False,stacked_exact,False,16.324085862395773,652.9634344958309,0.08326095240781091,0.053902487773737254,0.0,4.972143694276913,0.0
726,2.8189256484623115e-18,2.7755575615628914e-17,2.7924835303055126e-17,True,False,stacked_exact,False,16.400419044308286,656.0167617723315,0.08358535433673292,0.054120946264077756,0.0,4.9943267016857025,0.0
727,1.388159893277059e-17,0.0,1.9441856131876966e-17,True,False,stacked_exact,False,16.47570162076499,659.0280648305998,0.08390581822935768,0.05433685589012623,0.0,5.016254397463958,0.0
728,8.673617379884035e-19,2.7755575615628914e-17,2.816994686844089e-17,True,False,stacked_exact,False,16.54997543378754,661.9990173515016,0.08422231133949537,0.054550146755381224,0.0,5.037915619792742,0.0
729,3.3610267347050637e-18,5.551115123125783e-17,5.591290253519627e-17,True,False,stacked_exact,False,16.623232033317436,664.9292813326975,0.08453494591656119,0.05476088344302375,0.0,5.059338277727907,0.0
730,3.3610267347050637e-18,5.551115123125783e-17,5.607294750764468e-17,True,False,stacked_exact,False,16.695512768626912,667.8205107450764,0.08484382085178035,0.054969127690928155,0.0,5.0805147304467795,0.0
731,6.7220534694101275e-18,2.8609792490763984e-17,2.952635320423889e-17,True,False,stacked_exact,False,16.766863852835964,670.6745541134386,0.08514895691106321,0.05517486821929956,0.0,5.101438055610513,0.0
732,1.0842021724855044e-18,2.7755575615628914e-17,2.783207539189722e-17,True,False,stacked_exact,False,16.83729391976209,673.4917567904838,0.08545040256270098,0.055378117180967794,0.0,5.122123985797016,0.0
733,1.42295081408016e-17,2.7755575615628914e-17,3.188949545658722e-17,True,False,stacked_exact,False,16.906822089507916,676.2728835803166,0.08574815998704347,0.0555788388140892,0.0,5.142582384248661,0.0
