case,batch,phase,n_episodes,reward_no_penalty,training_reward,fallback_penalty,output_rmse,actual_intervention_rate,diagnostic_unsafe_rate,teacher_gap,handoff_gap,executed_gap
LMPC pretrained no gate,handoff_calibrated,BC,20,-12.4230483761464,-12.4230483761464,0.0,0.37725577202651184,0.0,0.0,0.0009838104583882463,,0.0
LMPC pretrained no gate,handoff_calibrated,handoff,10,-12.657727187948035,-12.657727187948035,0.0,0.3813101181913326,0.0,0.00025,0.016624599790064278,0.008730793155678535,0.0
LMPC pretrained no gate,handoff_calibrated,early full,50,-6.504714542888931,-6.504714542888931,0.0,0.2360449483275186,0.0,0.0053,,,0.0
LMPC pretrained no gate,handoff_calibrated,mid full,170,-4.186491929425905,-4.186491929425905,0.0,0.16353086583475704,0.0,0.006198529411764706,,,0.0
LMPC pretrained no gate,handoff_calibrated,tail 50,50,-3.927130519744209,-3.927130519744209,0.0,0.15597952849701036,0.0,0.00335,,,0.0
OF-MPC pretrained + gate,old_noise,BC,20,-32.88804597666151,-34.26729022515961,1.3792442484980938,0.6327340024656564,0.017375,0.0,0.19658271634645982,,0.04701624134361565
OF-MPC pretrained + gate,old_noise,handoff,5,-23.282261499524584,-23.348242062286282,0.0659805627617003,0.5927566272293256,0.00225,0.0,0.15226087445804976,0.2049861820702527,0.003364465946508035
OF-MPC pretrained + gate,old_noise,early full,50,-11.534103538176915,-12.27681654193647,0.7427130037595571,0.3373705443306671,0.0076500000000000005,0.0,,,0.027763389259554988
OF-MPC pretrained + gate,old_noise,mid full,175,-4.9654816866608265,-6.229355021852592,1.263873335191763,0.18191511609367006,0.026642857142857145,0.0,,,0.06179233955417472
OF-MPC pretrained + gate,old_noise,tail 50,50,-4.902748224655667,-6.345624158390455,1.4428759337347885,0.17692106684556944,0.03635,0.0,,,0.07360746190724751
OF-MPC pretrained + gate,low_noise,BC,20,-12.419647663735557,-12.419647663735557,0.0,0.3772560413096878,0.0,0.0,7.433813503900967e-08,,0.0
OF-MPC pretrained + gate,low_noise,handoff,5,-79.56160904457207,-79.78108219110024,0.2194731465281782,0.8577540232711629,0.0072499999999999995,0.0,0.17930882738674533,0.43400669478910764,0.011572211143978781
OF-MPC pretrained + gate,low_noise,early full,50,-1149.3605745313412,-1149.687146692234,0.32657216089270347,2.6084006452345703,0.00485,0.0,,,0.014728824566963686
OF-MPC pretrained + gate,low_noise,mid full,175,-13.424467591276521,-14.74417736683288,1.3197097755563556,0.32940091275026157,0.017092857142857146,0.0,,,0.05247762635519045
OF-MPC pretrained + gate,low_noise,tail 50,50,-5.844277643924926,-8.723679920511856,2.8794022765869305,0.187744680150409,0.041199999999999994,0.0,,,0.11186429604646851
OF-MPC pretrained + gate,critic_reset,BC,20,-12.4230483761464,-12.4230483761464,0.0,0.37725577202651184,0.0,0.0,0.0009838104583882463,,0.0
OF-MPC pretrained + gate,critic_reset,handoff,5,-5375.68376097629,-5376.507081986514,0.8233210102241086,6.118005095273396,0.01125,0.0,0.5008782610157577,0.47772530985561545,0.03471509688689009
OF-MPC pretrained + gate,critic_reset,early full,50,-10.87558440743044,-11.391810653693064,0.5162262462626229,0.3110060370051853,0.004625000000000001,0.0,,,0.017992560074847966
OF-MPC pretrained + gate,critic_reset,mid full,175,-5.3425639005444765,-6.949563825166838,1.6069999246223625,0.1898481903112188,0.024092857142857145,0.0,,,0.06597386515454255
OF-MPC pretrained + gate,critic_reset,tail 50,50,-4.907046486473209,-6.492025754191552,1.5849792677183439,0.17912692044419104,0.034749999999999996,0.0,,,0.07716768093454077
OF-MPC pretrained + gate,handoff_calibrated,BC,20,-12.4230483761464,-12.4230483761464,0.0,0.37725577202651184,0.0,0.0,0.0009838104583882463,,0.0
OF-MPC pretrained + gate,handoff_calibrated,handoff,10,-12.576923716692733,-12.583422623782333,0.00649890708960163,0.3808485761394479,0.000375,0.0,0.016603048773003712,0.00866662010524015,0.0004402044209725967
OF-MPC pretrained + gate,handoff_calibrated,early full,50,-6.565072200026297,-6.836931537878163,0.27185933785186583,0.22547007329431745,0.0036250000000000006,0.0,,,0.01151326582719681
OF-MPC pretrained + gate,handoff_calibrated,mid full,170,-4.485954512865913,-4.924478116100525,0.43852360323461215,0.16824163900110187,0.005794117647058824,0.0,,,0.016792057897587278
OF-MPC pretrained + gate,handoff_calibrated,tail 50,50,-4.318106600387247,-4.963190048535053,0.6450834481478072,0.16251603216678664,0.00615,0.0,,,0.022657009016221398
OF-MPC pretrained no gate,old_noise,BC,20,-17.11432668510014,-17.11432668510014,0.0,0.4558864717973418,0.0,0.0164375,0.19676195993879464,,0.0
OF-MPC pretrained no gate,old_noise,handoff,5,-14.97715593517131,-14.97715593517131,0.0,0.3987254985246917,0.0,0.0035000000000000005,0.1349625616841058,0.1577439298899774,0.0
OF-MPC pretrained no gate,old_noise,early full,50,-13.246329290913614,-13.246329290913614,0.0,0.3400291026933814,0.0,0.014300000000000002,,,0.0
OF-MPC pretrained no gate,old_noise,mid full,175,-4.435272957444694,-4.435272957444694,0.0,0.1730294037527005,0.0,0.06357142857142858,,,0.0
OF-MPC pretrained no gate,old_noise,tail 50,50,-4.036229490684147,-4.036229490684147,0.0,0.1570550141025229,0.0,0.05422500000000001,,,0.0
OF-MPC pretrained no gate,low_noise,BC,20,-12.419647663735557,-12.419647663735557,0.0,0.3772560413096878,0.0,0.0,7.433813503900967e-08,,0.0
OF-MPC pretrained no gate,low_noise,handoff,5,-77.25732298327765,-77.25732298327765,0.0,0.8279133855111223,0.0,0.004000000000000001,0.15147486004050878,0.38645044676711054,0.0
OF-MPC pretrained no gate,low_noise,early full,50,-57.964733836662255,-57.964733836662255,0.0,0.7663879477618267,0.0,0.004475,,,0.0
OF-MPC pretrained no gate,low_noise,mid full,175,-6.2196015635731055,-6.2196015635731055,0.0,0.2287988602691707,0.0,0.026792857142857153,,,0.0
OF-MPC pretrained no gate,low_noise,tail 50,50,-4.194599107758145,-4.194599107758145,0.0,0.15831686825741015,0.0,0.050625,,,0.0
OF-MPC pretrained no gate,critic_reset,BC,20,-12.4230483761464,-12.4230483761464,0.0,0.37725577202651184,0.0,0.0,0.0009838104583882463,,0.0
OF-MPC pretrained no gate,critic_reset,handoff,5,-1828.193697327543,-1828.193697327543,0.0,3.796923178984372,0.0,0.0024999999999999996,0.2144210747061396,0.28039018619642014,0.0
