event_kind,event_anchor,k,y_sp,dhat_k,us_exact,us_bounded,solve_mode,exact_eq_residual_state_inf,exact_eq_residual_output_inf,bounded_residual_norm,dhat_delta_inf
dhat_jump,32,35,"[2.751989057031519, 0.5060686884724044]","[1.6290796443773625, 1.9901109110082622]","[367.247505919541, 150.35991828905466]","[9.95999999999741, -7.499999999948061]",exact_unbounded_fallback_bounded_ls,3.122502256758253e-17,8.881784197001252e-16,1.6665538072014132,0.06894568598973061
dhat_jump,32,36,"[2.751989057031519, 0.5060686884724044]","[1.641023654265527, 1.92225389374246]","[360.6903853797639, 149.80448332854692]","[9.95999999969346, -7.499999998699445]",exact_unbounded_fallback_bounded_ls,4.683753385137379e-17,2.220446049250313e-16,1.6092166808225854,0.06785701726580218
dhat_jump,32,37,"[2.751989057031519, 0.5060686884724044]","[1.6514211174890876, 1.8559500934157838]","[354.6140823775056, 149.46597148551857]","[9.959999999999997, -7.499999999999999]",exact_unbounded_fallback_bounded_ls,2.2551405187698492e-17,2.220446049250313e-16,1.555011466929979,0.06630380032667627
dhat_jump,33,28,"[2.751989057031519, 0.5060686884724044]","[1.4733770514107878, 2.461619959736694]","[431.6977225267029, 165.88164289546256]","[9.959999999996933, -7.49999999999806]",exact_unbounded_fallback_bounded_ls,1.214306433183765e-17,8.881784197001252e-16,2.127751429783366,0.058134323338291605
dhat_jump,33,29,"[2.751989057031519, 0.5060686884724044]","[1.5059004657055308, 2.399481691297309]","[420.0858022760842, 161.91069733280392]","[9.95999999999441, -7.499999999987694]",exact_unbounded_fallback_bounded_ls,8.673617379884035e-18,8.881784197001252e-16,2.058667538750823,0.06213826843938497
dhat_jump,33,30,"[2.751989057031519, 0.5060686884724044]","[1.5343810119881947, 2.3342791168443964]","[409.3681050460037, 158.64964465147398]","[9.95999999999984, -7.4999999999937]",exact_unbounded_fallback_bounded_ls,8.881784197001252e-16,1.3322676295501878e-15,1.9897452197162362,0.06520257445291255
dhat_jump,33,31,"[2.751989057031519, 0.5060686884724044]","[1.559184047002682, 2.2668744841022925]","[399.493616566669, 156.02259723397535]","[9.959999999329934, -7.499999996921776]",exact_unbounded_fallback_bounded_ls,0.0,8.881784197001252e-16,1.9215756381029552,0.06740463274210384
dhat_jump,33,32,"[2.751989057031519, 0.5060686884724044]","[1.5806843678149518, 2.1980636988936073]","[390.4054929628521, 153.95348323694606]","[9.959999999999997, -7.499999999999999]",exact_unbounded_fallback_bounded_ls,8.881784197001252e-16,4.440892098500626e-16,1.854707064192164,0.06881078520868522
dhat_jump,33,33,"[2.751989057031519, 0.5060686884724044]","[1.5992570893618938, 2.128572667845077]","[382.0432443162123, 152.36758311945732]","[9.959999999999997, -7.499999999999999]",exact_unbounded_fallback_bounded_ls,5.724587470723463e-17,4.440892098500626e-16,1.7896344725756088,0.06949103104853016
dhat_jump,33,34,"[2.751989057031519, 0.5060686884724044]","[1.6152703429414652, 2.059056596997993]","[374.3445956775829, 151.19271484098593]","[9.959999999965206, -7.499999999731898]",exact_unbounded_fallback_bounded_ls,3.122502256758253e-17,4.440892098500626e-16,1.7267918686155508,0.06951607084708433
dhat_jump,33,35,"[2.751989057031519, 0.5060686884724044]","[1.6290796443773625, 1.9901109110082622]","[367.247505919541, 150.35991828905466]","[9.95999999999741, -7.499999999948061]",exact_unbounded_fallback_bounded_ls,3.122502256758253e-17,8.881784197001252e-16,1.6665538072014132,0.06894568598973061
dhat_jump,33,36,"[2.751989057031519, 0.5060686884724044]","[1.641023654265527, 1.92225389374246]","[360.6903853797639, 149.80448332854692]","[9.95999999969346, -7.499999998699445]",exact_unbounded_fallback_bounded_ls,4.683753385137379e-17,2.220446049250313e-16,1.6092166808225854,0.06785701726580218
dhat_jump,33,37,"[2.751989057031519, 0.5060686884724044]","[1.6514211174890876, 1.8559500934157838]","[354.6140823775056, 149.46597148551857]","[9.959999999999997, -7.499999999999999]",exact_unbounded_fallback_bounded_ls,2.2551405187698492e-17,2.220446049250313e-16,1.555011466929979,0.06630380032667627
dhat_jump,33,38,"[2.751989057031519, 0.5060686884724044]","[1.6605687871714567, 1.7915920628461282]","[348.9614929554642, 149.2889149947506]","[9.959999999999997, -7.499999999999999]",exact_unbounded_fallback_bounded_ls,4.85722573273506e-17,6.661338147750939e-16,1.5040875067978163,0.06435803056965561
dhat_jump,34,29,"[2.751989057031519, 0.5060686884724044]","[1.5059004657055308, 2.399481691297309]","[420.0858022760842, 161.91069733280392]","[9.95999999999441, -7.499999999987694]",exact_unbounded_fallback_bounded_ls,8.673617379884035e-18,8.881784197001252e-16,2.058667538750823,0.06213826843938497
dhat_jump,34,30,"[2.751989057031519, 0.5060686884724044]","[1.5343810119881947, 2.3342791168443964]","[409.3681050460037, 158.64964465147398]","[9.95999999999984, -7.4999999999937]",exact_unbounded_fallback_bounded_ls,8.881784197001252e-16,1.3322676295501878e-15,1.9897452197162362,0.06520257445291255
