k,residual_dyn_norm,residual_out_norm,residual_total_norm,exact_solution,used_lstsq,solver_mode,requested_mode_fallback,u_applied_minus_u_s_norm,u_applied_minus_u_s_phys_norm,y_current_minus_y_s_norm,y_current_minus_y_s_phys_norm,y_s_minus_y_sp_norm,xhat_minus_x_s_norm,dhat_minus_d_s_norm,rhs_output_norm,u_s_dev_norm,x_s_norm,reduced_rhs_exact_residual_norm,exact_solve_success,exact_within_bounds,exact_bound_violation_inf,exact_eq_residual_state_inf,exact_eq_residual_output_inf,bounded_solve_success,bounded_residual_norm,box_solve_mode,us_exact_minus_us_bounded_inf,xs_exact_minus_xs_bounded_inf,reduced_rhs_bounded_residual_norm
312,1.0028870095490916e-18,6.938893903907228e-18,8.817109394025678e-18,True,False,stacked_exact,False,0.9062553484565621,36.25021393826247,0.003058475865457383,0.002140039629310965,0.0,0.30245797456569784,0.0,0.023201587111277466,5.686760119031012,1.9564028639080906,5.204170427930421e-18,True,True,0.0,1.0028870095490916e-18,6.938893903907228e-18,True,0.0,exact_bounded,0.0,0.0,5.204170427930421e-18
313,6.776263578034403e-19,6.938893903907228e-18,8.239808102038023e-18,True,False,stacked_exact,False,0.8872870582257237,35.49148232902896,0.0029949248122009917,0.0020945324910890996,0.0,0.2959719405958342,0.0,0.023170228645620742,5.668142529054123,1.9505160942142106,3.469446951953614e-18,True,True,0.0,6.776263578034403e-19,6.938893903907228e-18,True,0.0,exact_bounded,0.0,0.0,4.9065389333867974e-18
314,1.6263032587282567e-19,6.938893903907228e-18,9.457918886056602e-18,True,False,stacked_exact,False,0.868761494855403,34.7504597942161,0.002932889600472201,0.0020501188192310125,0.0,0.2896381544727528,0.0,0.023139744144964947,5.649960771658451,1.9447671327989882,5.204170427930421e-18,True,True,0.0,1.6263032587282567e-19,6.938893903907228e-18,True,0.0,exact_bounded,0.0,0.0,0.0
315,6.776263578034403e-19,1.3877787807814457e-17,1.4270316767444098e-17,True,False,stacked_exact,False,0.8506708850864232,34.02683540345692,0.002872299383920492,0.002006741626855313,0.0,0.28344782239359195,0.0,0.02311003426350925,5.632206421209728,1.9391524409084133,0.0,True,True,0.0,6.776263578034403e-19,1.3877787807814457e-17,True,0.0,exact_bounded,0.0,0.0,6.2546344413855015e-18
316,5.963111948670274e-19,6.938893903907228e-18,8.836360406734858e-18,True,False,stacked_exact,False,0.8329927999657729,33.31971199863092,0.0028131114363684866,0.0019643641988459646,0.0,0.27740864816295147,0.0,0.023081227410793905,5.614859632947472,1.9336677101725974,3.469446951953614e-18,True,True,0.0,5.963111948670274e-19,6.938893903907228e-18,True,0.0,exact_bounded,0.0,0.0,1.3877787807814457e-17
317,7.860465750519907e-19,1.3877787807814457e-17,1.4957217381909753e-17,True,False,stacked_exact,False,0.8157138675216944,32.62855470086782,0.002755291856517036,0.0019229570504242929,0.0,0.271520384758276,0.0,0.02305335176849197,5.597908014795194,1.928309667420655,3.469446951953614e-18,True,True,0.0,7.860465750519907e-19,1.3877787807814457e-17,True,0.0,exact_bounded,0.0,0.0,3.469446951953614e-18
318,4.607859233063394e-19,0.0,1.3799619236502289e-18,True,False,stacked_exact,False,0.7988269790774019,31.95307916309608,0.0026988137983398395,0.0018824979021873046,0.0,0.26577855385472954,0.0,0.02302637753726641,5.581344451791265,1.9230759337204715,1.734723475976807e-18,True,True,0.0,4.607859233063394e-19,0.0,True,0.0,exact_bounded,0.0,0.0,0.0
319,5.421010862427522e-19,1.3877787807814457e-17,1.4957827357726594e-17,True,False,stacked_exact,False,0.7823290354263946,31.293161417055803,0.002643661289035242,0.001842976625037267,0.0,0.2601766255991347,0.0,0.023000242447526353,5.565165028462816,1.9179647103138273,5.204170427930421e-18,True,True,0.0,5.421010862427522e-19,1.3877787807814457e-17,True,0.0,exact_bounded,0.0,0.0,5.204170427930421e-18
320,1.388945607535331e-17,6.938893903907228e-18,1.881704565578654e-17,True,False,stacked_exact,False,0.7662199681884472,30.648798727537887,0.0025897993819587904,0.00180436764987882,0.0,0.2547054026248242,0.0,0.02297484024345968,5.549368395159657,1.9129744662390673,1.734723475976807e-18,True,True,0.0,1.3877787807814457e-17,6.938893903907228e-18,True,0.0,exact_bounded,0.0,0.0,3.469446951953614e-18
321,8.402566836762659e-19,6.938893903907228e-18,7.757669156138918e-18,True,False,stacked_exact,False,0.7504918269950106,30.01967307980037,0.002537183624535928,0.0017666351750080548,0.0,0.2493629920111449,0.0,0.022950161912469083,5.533947347945408,1.9081030394569525,3.469446951953614e-18,True,True,0.0,8.402566836762659e-19,6.938893903907228e-18,True,0.0,exact_bounded,0.0,0.0,6.938893903907228e-18
