k,residual_dyn_norm,residual_out_norm,residual_total_norm,exact_solution,used_lstsq,solver_mode,requested_mode_fallback,u_applied_minus_u_s_norm,u_applied_minus_u_s_phys_norm,y_current_minus_y_s_norm,y_current_minus_y_s_phys_norm,y_s_minus_y_sp_norm,xhat_minus_x_s_norm,dhat_minus_d_s_norm,rhs_output_norm,u_s_dev_norm,x_s_norm,reduced_rhs_exact_residual_norm,exact_solve_success,exact_within_bounds,exact_bound_violation_inf,exact_eq_residual_state_inf,exact_eq_residual_output_inf,bounded_solve_success,bounded_residual_norm,box_solve_mode,us_exact_minus_us_bounded_inf,xs_exact_minus_xs_bounded_inf,reduced_rhs_bounded_residual_norm
34,8.884223316973178e-16,1.5543122344752192e-15,2.049260999827021e-15,True,False,stacked_exact,False,416.3062828509291,16652.251314037163,1.7928207912655776,1.2599437615229356,1.5543122344752192e-15,123.8800376601017,0.0,1.887993746006144,418.6290092191683,128.65840480700774,2.220446049250313e-16,True,False,375.6369197065743,8.881784197001252e-16,1.5543122344752192e-15,True,1.7011912411040913,exact_unbounded_fallback_bounded_ls,375.6369197080272,89.80070111770041,1.7011912411040913
35,1.0928757898653885e-16,9.155133597044475e-16,9.339883457960834e-16,True,False,stacked_exact,False,411.819361188131,16472.77444752524,1.7799415604400655,1.2483131277555437,8.881784197001252e-16,125.44266466712278,0.0,1.8303277380265799,414.1968208038072,127.6212579007334,7.021666937153402e-16,True,False,370.59572846011787,1.0928757898653885e-16,8.881784197001252e-16,True,1.6483145379531754,exact_unbounded_fallback_bounded_ls,370.59572846028124,88.59554133503615,1.6483145379531754
36,1.3877787807814457e-17,2.220446049250313e-16,2.271049952122244e-16,True,False,stacked_exact,False,407.6315860452125,16305.263441808498,1.765154181459099,1.2346833133069912,2.220446049250313e-16,126.82064839022215,0.0,1.7761826479675409,410.06305794918825,126.66706610052053,0.0,True,False,365.85048286913644,1.3877787807814457e-17,2.220446049250313e-16,True,1.5991965850388767,exact_unbounded_fallback_bounded_ls,365.85048286914486,87.46113106090512,1.5991965850388767
37,3.469446951953614e-17,1.1322097734007351e-15,1.190544899271319e-15,True,False,stacked_exact,False,403.6770856710924,16147.083426843697,1.7486358746524504,1.2193069496961615,1.1102230246251565e-15,127.99354808215587,0.0,1.7255647139322912,406.1617374475636,125.77230122842488,3.1401849173675503e-16,True,False,361.3503368947001,3.469446951953614e-17,1.1102230246251565e-15,True,1.5537843582875923,exact_unbounded_fallback_bounded_ls,361.35033689470015,86.38531491388942,1.5537843582875923
38,5.204170427930421e-18,2.220446049250313e-16,3.4239724638161676e-16,True,False,stacked_exact,False,399.89557078763784,15995.822831505511,1.7305611276031871,1.202426552143845,2.220446049250313e-16,128.94558356603468,0.0,1.6784113956393665,402.4325317675637,124.91561020033492,0.0,True,False,357.04854502441157,5.204170427930421e-18,2.220446049250313e-16,True,1.511950103921859,exact_unbounded_fallback_bounded_ls,357.0485450244116,85.35691779489856,1.5119501039218588
39,5.898059818321144e-17,2.220446049250313e-16,4.632754489958608e-16,True,False,stacked_exact,False,396.23223166771584,15849.289266708636,1.7110989375245147,1.1842736237167324,2.220446049250313e-16,129.6655991003766,0.0,1.6345968371428379,398.8205680967917,124.0777862685523,2.220446049250313e-16,True,False,352.90213075909264,5.898059818321144e-17,2.220446049250313e-16,True,1.4734995263148811,exact_unbounded_fallback_bounded_ls,352.90213075910367,84.36566563459837,1.4734995263148811
40,8.673617379884035e-17,6.661338147750939e-16,7.03469735440694e-16,True,False,stacked_exact,False,392.6378907780723,15705.515631122893,1.69040917801811,1.165066328452787,6.661338147750939e-16,130.14641966877826,0.0,1.593948633663828,395.2766594254793,123.24178922365233,0.0,True,False,348.8722032489296,8.673617379884035e-17,6.661338147750939e-16,True,1.4381902581260937,exact_unbounded_fallback_bounded_ls,348.87220324929143,83.40226108928388,1.4381902581260937
41,4.163336342344337e-17,4.965068306494546e-16,5.696305828531476e-16,True,False,stacked_exact,False,389.06870585277323,15562.748234110928,1.6686419509930996,1.1450092996297068,4.440892098500626e-16,130.38484938343913,0.0,1.5562535937189061,391.75698442316497,122.39267892962513,0.0,True,False,344.92352005734324,4.163336342344337e-17,4.440892098500626e-16,True,1.4057410753968278,exact_unbounded_fallback_bounded_ls,344.92352005734324,82.45827901370876,1.4057410753968278
42,1.734723475976807e-17,2.220446049250313e-16,3.3501811619819636e-16,True,False,stacked_exact,False,385.48639939482035,15419.455975792815,1.6459363153528952,1.1242926248909673,2.220446049250313e-16,130.38100977255257,0.0,1.5212743412216292,388.2232256315148,121.5175971220421,4.002966042486721e-16,True,False,341.02475564705014,1.734723475976807e-17,2.220446049250313e-16,True,1.3758501353180348,exact_unbounded_fallback_bounded_ls,341.02475564705014,81.52623064687307,1.3758501353180348
43,8.893228709106558e-16,0.0,5.052030556577053e-16,True,False,stacked_exact,False,381.85791724368516,15274.316689747408,1.6224190821175408,1.1030904419555092,0.0,130.1380744800452,0.0,1.488758497427313,384.64235271487564,120.6056881583618,2.220446049250313e-16,True,False,337.14830452287845,8.881784197001252e-16,0.0,True,1.3482064505863713,exact_unbounded_fallback_bounded_ls,337.14830452287845,80.59951655000077,1.3482064505863713
