k,residual_dyn_norm,residual_out_norm,residual_total_norm,exact_solution,used_lstsq,solver_mode,requested_mode_fallback,u_applied_minus_u_s_norm,u_applied_minus_u_s_phys_norm,y_current_minus_y_s_norm,y_current_minus_y_s_phys_norm,y_s_minus_y_sp_norm,xhat_minus_x_s_norm,dhat_minus_d_s_norm,rhs_output_norm,u_s_dev_norm,x_s_norm,reduced_rhs_exact_residual_norm,exact_solve_success,exact_within_bounds,exact_bound_violation_inf,exact_eq_residual_state_inf,exact_eq_residual_output_inf,bounded_solve_success,bounded_residual_norm,box_solve_mode,us_exact_minus_us_bounded_inf,xs_exact_minus_xs_bounded_inf,reduced_rhs_bounded_residual_norm,analysis_target_variant,analysis_x_label,analysis_u_label,analysis_y_label,analysis_d_label,analysis_u_applied_minus_u_s_norm,analysis_u_applied_minus_u_s_phys_norm,analysis_y_current_minus_y_s_norm,analysis_y_current_minus_y_s_phys_norm,analysis_y_s_minus_y_sp_norm,analysis_xhat_minus_x_s_norm,analysis_dhat_minus_d_s_norm,analysis_u_s_dev_norm,analysis_x_s_norm,analysis_reduced_rhs_residual_norm
10,2.740863092043355e-16,9.930136612989092e-16,1.2599988881949058e-15,True,False,stacked_exact,False,810.0231626872227,32400.9265074889,2.2889496762133295,0.513610297217378,9.930136612989092e-16,200.014346437789,0.0,2.829056761403857,811.2416097935057,258.70183877183786,4.440892098500626e-16,True,False,708.599344123597,2.740863092043355e-16,8.881784197001252e-16,True,2.817791127789124,exact_unbounded_fallback_bounded_ls,716.4721622374819,171.28162628489832,2.817791127789124,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,2.5450529567905775,101.80211827162314,2.2889496762133295,0.513610297217378,9.930136612989092e-16,200.014346437789,0.0,2.156809449187593,258.70183877183786,2.817791127789124
11,1.1796119636642288e-16,1.3322676295501878e-15,1.351180699381242e-15,True,False,stacked_exact,False,795.3726806321421,31814.90722528568,2.2002026431370694,0.5108540116027265,1.3322676295501878e-15,189.2306125918177,0.0,2.856113709371456,796.6673109249066,252.76924475989424,4.965068306494546e-16,True,False,699.7475922566146,1.1796119636642288e-16,1.3322676295501878e-15,True,2.8410995820429044,exact_unbounded_fallback_bounded_ls,707.3914212752933,169.11076164862513,2.8410995820429044,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,2.921838306441302,116.87353225765209,2.2002026431370694,0.5108540116027265,1.3322676295501878e-15,189.2306125918177,0.0,2.341072759960809,252.76924475989424,2.8410995820429044
12,3.469446951953614e-17,1.831026719408895e-15,1.9419352251124626e-15,True,False,stacked_exact,False,778.2041372043989,31128.165488175957,2.112519064689105,0.5195880513457302,1.831026719408895e-15,178.54842004089096,0.0,2.879421290967194,779.5694521341558,246.13950402916615,6.661338147750939e-16,True,False,688.2808739933675,3.469446951953614e-17,1.7763568394002505e-15,True,2.8603789396573167,exact_unbounded_fallback_bounded_ls,695.7158095807256,166.3195607278925,2.8603789396573167,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,3.2628862137141614,130.51544854856647,2.112519064689105,0.5195880513457302,1.831026719408895e-15,178.54842004089096,0.0,2.5299985863330003,246.13950402916615,2.8603789396573167
13,1.8735013540549517e-16,0.0,3.1511480089501395e-16,True,False,stacked_exact,False,758.9575335321699,30358.3013412868,2.028194947797476,0.5395463339311292,0.0,168.15722406805253,0.0,2.8973101281957727,760.3884085491557,238.95992396284885,2.220446049250313e-16,True,False,674.5760976053768,1.8735013540549517e-16,0.0,True,2.8741813306250488,exact_unbounded_fallback_bounded_ls,681.8230399444315,162.99832048671593,2.8741813306250488,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,3.5650197393032337,142.60078957212932,2.028194947797476,0.5395463339311292,0.0,168.15722406805253,0.0,2.713059338162502,238.95992396284885,2.8741813306250488
14,1.778825072679481e-15,8.881784197001252e-16,2.4799212337212956e-15,True,False,stacked_exact,False,738.097601645355,29523.904065814197,1.949322207205555,0.5693377643279806,8.881784197001252e-16,158.24009735121425,0.0,2.9085600425388303,739.5894505033609,231.3830513272983,2.220446049250313e-16,True,False,659.0404441938219,1.7763568394002505e-15,8.881784197001252e-16,True,2.88146844937886,exact_unbounded_fallback_bounded_ls,666.1204054306521,159.24440942326558,2.88146844937886,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,3.8266687005043534,153.06674802017417,1.949322207205555,0.5693377643279806,8.881784197001252e-16,158.24009735121425,0.0,2.8835084477868067,231.3830513272983,2.88146844937886
15,1.0408340855860843e-17,6.280369834735101e-16,7.806619560356413e-16,True,False,stacked_exact,False,716.0905984211062,28643.623936844248,1.8776835461981136,0.6069127255911079,9.930136612989092e-16,148.96018425014526,0.0,2.912395153006083,717.6390577121937,223.55889475113432,9.930136612989092e-16,True,False,642.0908949930839,1.0408340855860843e-17,4.440892098500626e-16,True,2.881603722913331,exact_unbounded_fallback_bounded_ls,649.0244403275245,155.15740526579907,2.881603722913331,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,4.047578382913438,161.9031353165375,1.8776835461981136,0.6069127255911079,9.930136612989092e-16,148.96018425014526,0.0,3.0373447943886833,223.55889475113432,2.881603722913331
16,5.204170427930421e-17,4.440892098500626e-16,5.845966850081419e-16,True,False,stacked_exact,False,693.383794827612,27735.351793104477,1.8146568601192417,0.6500375554240746,4.440892098500626e-16,140.45230046920472,0.0,2.9084301897631355,694.9848811046152,215.6288518925644,4.440892098500626e-16,True,False,624.1353129087554,5.204170427930421e-17,4.440892098500626e-16,True,2.874301360130029,exact_unbounded_fallback_bounded_ls,630.9424584386079,150.83468147047998,2.874301360130029,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,4.228484955533145,169.13939822132582,1.8146568601192417,0.6500375554240746,4.440892098500626e-16,140.45230046920472,0.0,3.172247050000584,215.6288518925644,2.874301360130029
17,4.569276124658356e-16,2.2315206618374916e-15,2.385988017363915e-15,True,False,stacked_exact,False,670.3867702554317,26815.470810217266,1.7611446274369138,0.6966203225319106,2.220446049250313e-15,132.82035462087669,0.0,2.8965352518145724,672.0373528758012,207.72079120591374,8.881784197001252e-16,True,False,605.5531373444518,4.440892098500626e-16,2.220446049250313e-15,True,2.859499459611865,exact_unbounded_fallback_bounded_ls,612.2530699093162,146.36674952519618,2.859499459611865,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,4.370765870417984,174.83063481671934,1.7611446274369138,0.6966203225319106,2.220446049250313e-15,132.82035462087669,0.0,3.287255144650097,207.72079120591374,2.859499459611865
18,8.920730087951354e-16,0.0,8.081601113485938e-16,True,False,stacked_exact,False,647.4628320157067,25898.51328062827,1.7175375919966966,0.7448709228107859,0.0,126.13246159365464,0.0,2.8767896271494116,649.1603170052397,199.9462339112484,4.440892098500626e-16,True,False,586.6864676301063,8.881784197001252e-16,0.0,True,2.83731964680328,exact_unbounded_fallback_bounded_ls,593.2970793211117,141.83508302520352,2.83731964680328,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,4.476129149356081,179.04516597424325,1.7175375919966966,0.7448709228107859,0.0,126.13246159365464,0.0,3.3825711960530014,199.9462339112484,2.83731964680328
19,9.367506770274758e-17,4.440892098500626e-16,5.893229579742115e-16,True,False,stacked_exact,False,624.9269347209587,24997.077388838345,1.683711884356253,0.7933255416714945,4.440892098500626e-16,120.41576229332405,0.0,2.849518431885358,626.6691818034199,192.399455165309,2.220446049250313e-16,True,False,567.8392159658138,9.367506770274758e-17,4.440892098500626e-16,True,2.8081027590874013,exact_unbounded_fallback_bounded_ls,574.3771365335678,137.31203420255628,2.8081027590874013,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,4.546921111240064,181.87684444960257,1.683711884356253,0.7933255416714945,4.440892098500626e-16,120.41576229332405,0.0,3.458948476059503,192.399455165309,2.8081027590874013
