Qc,Qm,Etha,T
471.6,338.0,3.7349398615980918,322.8239792218665
471.6,338.0,3.7349551509508854,322.8239120179857
471.6,338.0,3.7349694557584097,322.8238492044903
471.6,338.0,3.7349828384631696,322.82379049443267
471.6,338.0,3.734995357675197,322.82373561963885
471.6,338.0,3.735007068390029,322.82368432947715
471.6,338.0,3.735018022196687,322.82363638970816
471.6,338.0,3.735028267475743,322.82359158141077
471.6,338.0,3.735037849587646,322.8235496999784
471.6,338.0,3.735046811051543,322.8235105541817
471.6,338.0,3.735055191714823,322.8234739652927
471.6,338.0,3.7350630289137188,322.8234397662662
471.6,338.0,3.7350703576252178,322.8234078009755
471.6,338.0,3.7350772106106698,322.8233779234978
471.6,338.0,3.7350836185513807,322.8233499974467
471.6,338.0,3.73508961017656,322.8233238953485
471.6,338.0,3.735095212383945,322.823299498059
471.6,338.0,3.7351004503534724,322.8232766942191
471.6,338.0,3.7351053476542933,322.82325537974566
471.6,338.0,3.735109926345491,322.82323545735585
471.6,338.0,3.7351142070708216,322.8232168361225
471.6,338.0,3.7351182091477684,322.82319943105887
471.6,338.0,3.7351219506512363,322.8231831627301
471.6,338.0,3.7351254484921674,322.82316795689064
471.6,338.0,3.7351287184913633,322.8231537441449
471.6,338.0,3.7351317754487625,322.82314045963045
471.6,338.0,3.735134633208474,322.8231280427218
471.6,338.0,3.7351373047197525,322.8231164367535
471.6,338.0,3.7351398020942086,322.8231055887614
471.6,338.0,3.735142136659432,322.82309544924095
471.6,338.0,3.735144319009264,322.82308597192105
471.6,338.0,3.7351463590509084,322.8230771135528
471.6,338.0,3.7351482660490753,322.82306883371217
471.6,338.0,3.7351500486673346,322.82306109461535
471.6,338.0,3.7351517150068454,322.82305386094646
471.6,338.0,3.735153272642637,322.8230470996961
471.6,338.0,3.7351547286575695,322.8230407800109
471.6,338.0,3.735156089674137,322.8230348730525
471.6,338.0,3.7351573618842395,322.82302935186607
471.6,338.0,3.735158551077045,322.8230241912572
471.6,338.0,3.7351596626650734,322.8230193676771
471.6,338.0,3.7351607017085926,322.8230148591148
471.6,338.0,3.735161672938471,322.8230106449969
471.6,338.0,3.7351625807775344,322.82300670609374
471.6,338.0,3.735163429360567,322.8230030244315
471.6,338.0,3.735164222553011,322.8229995832102
471.6,338.0,3.7351649639684594,322.8229963667271
471.6,338.0,3.7351656569850356,322.82299336030496
471.6,338.0,3.7351663047606882,322.8229905502251
471.6,338.0,3.735166910247518,322.8229879236648
471.6,338.0,3.735167476205161,322.8229854686388
471.6,338.0,3.7351680052133243,322.8229831739446
471.6,338.0,3.735168499683488,322.82298102911113
471.6,338.0,3.7351689618698587,322.82297902435147
471.6,338.0,3.7351693938796178,322.82297715051766
471.6,338.0,3.73516979768249,322.8229753990592
471.6,338.0,3.735170175119706,322.8229737619841
471.6,338.0,3.7351705279123673,322.8229722318222
471.6,338.0,3.7351708576692833,322.8229708015913
471.6,338.0,3.7351711658942834,322.8229694647651
471.6,338.0,3.735171453993063,322.8229682152436
471.6,338.0,3.7351717232795867,322.8229670473251
471.6,338.0,3.735171974982062,322.8229659556804
471.6,338.0,3.7351722102485385,322.8229649353282
471.6,338.0,3.7351724301521307,322.82296398161253
471.6,338.0,3.7351726356959083,322.8229630901816
471.6,338.0,3.7351728278174683,322.8229622569677
471.6,338.0,3.7351730073932026,322.8229614781688
471.6,338.0,3.735173175242292,322.82296075023123
471.6,338.0,3.7351733321304397,322.82296006983336
