episode,step_start,step_stop_exclusive,n_steps,reward_mean,reward_sum,reward_no_penalty_mean,reward_no_penalty_sum,fallback_penalty_mean,fallback_penalty_sum,diagnostic_unsafe_count,diagnostic_unsafe_rate,diagnostic_unstable_count,diagnostic_unstable_rate,actual_intervention_count,actual_intervention_rate,accepted_candidate_count,fallback_count,fallback_verified_count,fallback_unverified_count,target_fail_hold_prev_count,solver_fail_hold_prev_count,target_failure_count,min_contraction_margin,max_executed_action_gap_inf,output_rmse_mean,output_max_abs_error,output0_rmse,output1_rmse,output0_max_abs_error,output1_max_abs_error,case,family,gate,phase
22,16800,17600,800,-11.433165262456912,-9146.53220996553,-10.625235794135092,-8500.188635308074,0.807929468321822,646.3435746574576,0,0.0,0,0.0,40,0.05,760,29,29,0,0,0,11,-54.54093045312493,3.175433095280849,0.2960896315530005,2.896948273153555,0.170580177146619,0.4215990859593819,1.098030218195026,2.896948273153555,Cold start + gate,Cold start,True,handoff
23,17600,18400,800,-11.313607418547472,-9050.88593483798,-10.229996113263434,-8183.996890610747,1.0836113052840417,866.8890442272332,0,0.0,0,0.0,39,0.04875,761,32,32,0,0,0,7,-77.83227740720065,5.862736700163953,0.2881870693807682,2.7996634241033007,0.1674105211054066,0.4089636176561298,1.206898018537878,2.7996634241033007,Cold start + gate,Cold start,True,handoff
24,18400,19200,800,-12.947239453743911,-10357.791562995131,-10.569103608002992,-8455.282886402394,2.3781358457409234,1902.5086765927388,0,0.0,0,0.0,40,0.05,760,31,31,0,0,0,9,-65.15297153248412,8.038072266885466,0.2791157053847904,2.9193146988063745,0.1634647597690101,0.3947666510005706,1.1306028621257158,2.9193146988063745,Cold start + gate,Cold start,True,handoff
25,19200,20000,800,-13.036724600340245,-10429.379680272195,-8.942939961149005,-7154.351968919204,4.093784639191239,3275.0277113529914,0,0.0,0,0.0,40,0.05,760,26,26,0,0,0,14,-76.09644000210619,10.140484425642706,0.228932690836885,2.533782170775908,0.150200121371068,0.3076652603027021,1.2170702645459088,2.533782170775908,Cold start + gate,Cold start,True,handoff
26,20000,20800,800,-15.036847694655716,-12029.478155724571,-11.474332907420804,-9179.466325936644,3.562514787234916,2850.0118297879326,0,0.0,0,0.0,33,0.04125,767,24,24,0,0,0,9,-50.05674019764336,9.400045554307528,0.2300985599006966,2.630527307471596,0.1477374484686259,0.3124596713327673,1.1207491229028164,2.630527307471596,Cold start + gate,Cold start,True,full_RL
27,20800,21600,800,-12.813994759137843,-10251.195807310276,-9.427799846830125,-7542.2398774641,3.386194912307719,2708.955929846175,0,0.0,0,0.0,23,0.02875,777,19,19,0,0,0,4,-49.48924003956347,11.417711033081764,0.2110966815420822,2.5395629900325503,0.1317303898579589,0.2904629732262054,1.0867448726949722,2.5395629900325503,Cold start + gate,Cold start,True,full_RL
28,21600,22400,800,-9.900593462124034,-7920.474769699227,-8.782709190543077,-7026.1673524344615,1.1178842715809585,894.3074172647666,0,0.0,0,0.0,15,0.01875,785,11,11,0,0,0,4,-55.0425049886104,6.362653345529623,0.2194703805080473,2.633053536118098,0.1311787017311317,0.3077620592849629,1.065052644889517,2.633053536118098,Cold start + gate,Cold start,True,full_RL
29,22400,23200,800,-14.331631203397064,-11465.304962717652,-10.563563664842704,-8450.850931874164,3.768067538554359,3014.454030843487,0,0.0,0,0.0,20,0.025,780,15,15,0,0,0,5,-52.9269948303197,11.27557749301031,0.251662203365619,3.4517821324109264,0.1392558635488147,0.3640685431824234,1.1221797752124991,3.4517821324109264,Cold start + gate,Cold start,True,full_RL
30,23200,24000,800,-11.34361050501871,-9074.888404014968,-9.14212904542474,-7313.703236339792,2.20148145959397,1761.185167675176,0,0.0,0,0.0,21,0.02625,779,14,14,0,0,0,7,-53.60835806436785,11.551601602149796,0.2299616996283816,2.646639529276854,0.1302737708202525,0.3296496284365106,1.077100727835877,2.646639529276854,Cold start + gate,Cold start,True,full_RL
31,24000,24800,800,-11.486031511736444,-9188.825209389155,-8.940994593288526,-7152.795674630821,2.5450369184479182,2036.0295347583344,0,0.0,0,0.0,23,0.02875,777,16,16,0,0,0,7,-59.19665931201462,9.42570080740847,0.2297339523292004,2.5024973529971817,0.1320381963274066,0.3274297083309941,1.0789979309462925,2.5024973529971817,Cold start + gate,Cold start,True,full_RL
