label,short_label,episode,reward_no_penalty_mean,output_rmse_mean
direct_lmpc_disturbance,Direct LMPC,277,-12.1704120932215,
direct_lmpc_disturbance,Direct LMPC,278,-12.166806911694298,
direct_lmpc_disturbance,Direct LMPC,279,-12.163206823617625,
direct_lmpc_disturbance,Direct LMPC,280,-12.159611843756306,
direct_lmpc_disturbance,Direct LMPC,281,-12.156022054417129,
direct_lmpc_disturbance,Direct LMPC,282,-12.152437411304197,
direct_lmpc_disturbance,Direct LMPC,283,-12.14885792548148,
direct_lmpc_disturbance,Direct LMPC,284,-12.145283536466827,
direct_lmpc_disturbance,Direct LMPC,285,-12.141714275758083,
direct_lmpc_disturbance,Direct LMPC,286,-12.138150122344005,
direct_lmpc_disturbance,Direct LMPC,287,-12.134591540540455,
direct_lmpc_disturbance,Direct LMPC,288,-12.131038359662169,
direct_lmpc_disturbance,Direct LMPC,289,-12.127490267652313,
direct_lmpc_disturbance,Direct LMPC,290,-12.123947308827953,
direct_lmpc_disturbance,Direct LMPC,291,-12.120409437353851,
direct_lmpc_disturbance,Direct LMPC,292,-12.116876664611246,
direct_lmpc_disturbance,Direct LMPC,293,-12.11334895790737,
direct_lmpc_disturbance,Direct LMPC,294,-12.109826323107995,
direct_lmpc_disturbance,Direct LMPC,295,-12.106308816417116,
direct_lmpc_disturbance,Direct LMPC,296,-12.102796406314324,
direct_lmpc_disturbance,Direct LMPC,297,-12.09928904500209,
direct_lmpc_disturbance,Direct LMPC,298,-12.095786715296164,
direct_lmpc_disturbance,Direct LMPC,299,-12.09228942729881,
direct_lmpc_disturbance,Direct LMPC,300,-12.08879724519445,
offset_free_mpc_disturbance,OF-MPC,1,-9.59301767804423,
offset_free_mpc_disturbance,OF-MPC,2,-12.564371397805823,
offset_free_mpc_disturbance,OF-MPC,3,-12.564672679270243,
offset_free_mpc_disturbance,OF-MPC,4,-12.56547683818346,
offset_free_mpc_disturbance,OF-MPC,5,-12.565615445345944,
offset_free_mpc_disturbance,OF-MPC,6,-12.56603297484779,
offset_free_mpc_disturbance,OF-MPC,7,-12.566582948927516,
offset_free_mpc_disturbance,OF-MPC,8,-12.566356023515231,
offset_free_mpc_disturbance,OF-MPC,9,-12.567228226938784,
offset_free_mpc_disturbance,OF-MPC,10,-12.568276043674873,
offset_free_mpc_disturbance,OF-MPC,11,-12.568577821616326,
offset_free_mpc_disturbance,OF-MPC,12,-12.568986563302955,
offset_free_mpc_disturbance,OF-MPC,13,-12.569173261930082,
offset_free_mpc_disturbance,OF-MPC,14,-12.569742113507774,
offset_free_mpc_disturbance,OF-MPC,15,-12.569412898796184,
offset_free_mpc_disturbance,OF-MPC,16,-12.56982391245873,
offset_free_mpc_disturbance,OF-MPC,17,-12.57144623613266,
offset_free_mpc_disturbance,OF-MPC,18,-12.57154231086337,
offset_free_mpc_disturbance,OF-MPC,19,-12.57233340935752,
offset_free_mpc_disturbance,OF-MPC,20,-12.572137800381196,
offset_free_mpc_disturbance,OF-MPC,21,-12.573044880580344,
offset_free_mpc_disturbance,OF-MPC,22,-12.573654789932595,
offset_free_mpc_disturbance,OF-MPC,23,-12.573969554066757,
offset_free_mpc_disturbance,OF-MPC,24,-12.574960996860645,
offset_free_mpc_disturbance,OF-MPC,25,-12.575137706718325,
offset_free_mpc_disturbance,OF-MPC,26,-12.57575266117126,
offset_free_mpc_disturbance,OF-MPC,27,-12.576177176316746,
offset_free_mpc_disturbance,OF-MPC,28,-12.576669614142968,
offset_free_mpc_disturbance,OF-MPC,29,-12.577915073667524,
offset_free_mpc_disturbance,OF-MPC,30,-12.57886667457085,
offset_free_mpc_disturbance,OF-MPC,31,-12.578819688667815,
offset_free_mpc_disturbance,OF-MPC,32,-12.57875441404624,
offset_free_mpc_disturbance,OF-MPC,33,-12.57986667044242,
offset_free_mpc_disturbance,OF-MPC,34,-12.580804398656625,
offset_free_mpc_disturbance,OF-MPC,35,-12.580710824628108,
offset_free_mpc_disturbance,OF-MPC,36,-12.58168274684228,
offset_free_mpc_disturbance,OF-MPC,37,-12.581720515055473,
offset_free_mpc_disturbance,OF-MPC,38,-12.58342365419736,
offset_free_mpc_disturbance,OF-MPC,39,-12.582628302583814,
offset_free_mpc_disturbance,OF-MPC,40,-12.583923228490775,
offset_free_mpc_disturbance,OF-MPC,41,-12.584456268884962,
offset_free_mpc_disturbance,OF-MPC,42,-12.584957884568276,
offset_free_mpc_disturbance,OF-MPC,43,-12.586205452195529,
offset_free_mpc_disturbance,OF-MPC,44,-12.586451619590967,
offset_free_mpc_disturbance,OF-MPC,45,-12.587138760081992,
offset_free_mpc_disturbance,OF-MPC,46,-12.587662464885206,
offset_free_mpc_disturbance,OF-MPC,47,-12.58791829731084,
offset_free_mpc_disturbance,OF-MPC,48,-12.58877167026492,
offset_free_mpc_disturbance,OF-MPC,49,-12.58982080456767,
offset_free_mpc_disturbance,OF-MPC,50,-12.590335463986785,
offset_free_mpc_disturbance,OF-MPC,51,-12.590673335067727,
offset_free_mpc_disturbance,OF-MPC,52,-12.591608916758693,
offset_free_mpc_disturbance,OF-MPC,53,-12.592553560501692,
offset_free_mpc_disturbance,OF-MPC,54,-12.592645946927808,
offset_free_mpc_disturbance,OF-MPC,55,-12.594375507161187,
offset_free_mpc_disturbance,OF-MPC,56,-12.594469207319094,
offset_free_mpc_disturbance,OF-MPC,57,-12.595329152616063,
offset_free_mpc_disturbance,OF-MPC,58,-12.595736553418982,
offset_free_mpc_disturbance,OF-MPC,59,-12.596932003124962,
offset_free_mpc_disturbance,OF-MPC,60,-12.597374453540445,
offset_free_mpc_disturbance,OF-MPC,61,-12.597833796616204,
offset_free_mpc_disturbance,OF-MPC,62,-12.59915555359646,
offset_free_mpc_disturbance,OF-MPC,63,-12.59992212436433,
offset_free_mpc_disturbance,OF-MPC,64,-12.600618734142415,
offset_free_mpc_disturbance,OF-MPC,65,-12.601059143146417,
offset_free_mpc_disturbance,OF-MPC,66,-12.601249798707912,
offset_free_mpc_disturbance,OF-MPC,67,-12.601933292806372,
offset_free_mpc_disturbance,OF-MPC,68,-12.6036143696281,
offset_free_mpc_disturbance,OF-MPC,69,-12.60417198184571,
offset_free_mpc_disturbance,OF-MPC,70,-12.60486550296734,
offset_free_mpc_disturbance,OF-MPC,71,-12.605225943884944,
offset_free_mpc_disturbance,OF-MPC,72,-12.605851759244391,
offset_free_mpc_disturbance,OF-MPC,73,-12.606627507642674,
offset_free_mpc_disturbance,OF-MPC,74,-12.607856078378497,
offset_free_mpc_disturbance,OF-MPC,75,-12.608156909960316,
offset_free_mpc_disturbance,OF-MPC,76,-12.60944422430632,
offset_free_mpc_disturbance,OF-MPC,77,-12.609655772752548,
offset_free_mpc_disturbance,OF-MPC,78,-12.610108578304198,
offset_free_mpc_disturbance,OF-MPC,79,-12.611589114841818,
offset_free_mpc_disturbance,OF-MPC,80,-12.611752730599584,
offset_free_mpc_disturbance,OF-MPC,81,-12.61266374959742,
offset_free_mpc_disturbance,OF-MPC,82,-12.612923196236814,
offset_free_mpc_disturbance,OF-MPC,83,-12.614244281709464,
offset_free_mpc_disturbance,OF-MPC,84,-12.61537282905108,
offset_free_mpc_disturbance,OF-MPC,85,-12.615700223274326,
offset_free_mpc_disturbance,OF-MPC,86,-12.616699740415925,
offset_free_mpc_disturbance,OF-MPC,87,-12.617144966384394,
offset_free_mpc_disturbance,OF-MPC,88,-12.618983550700602,
offset_free_mpc_disturbance,OF-MPC,89,-12.619156490629347,
offset_free_mpc_disturbance,OF-MPC,90,-12.620109215438992,
offset_free_mpc_disturbance,OF-MPC,91,-12.61981758592844,
offset_free_mpc_disturbance,OF-MPC,92,-12.62173959289784,
offset_free_mpc_disturbance,OF-MPC,93,-12.62283276488338,
offset_free_mpc_disturbance,OF-MPC,94,-12.622900586797265,
offset_free_mpc_disturbance,OF-MPC,95,-12.624132710410676,
offset_free_mpc_disturbance,OF-MPC,96,-12.624675907467669,
offset_free_mpc_disturbance,OF-MPC,97,-12.624975076609438,
offset_free_mpc_disturbance,OF-MPC,98,-12.626641856507618,
offset_free_mpc_disturbance,OF-MPC,99,-12.627845816702392,
offset_free_mpc_disturbance,OF-MPC,100,-12.628025637121109,
offset_free_mpc_disturbance,OF-MPC,101,-12.629050869311754,
offset_free_mpc_disturbance,OF-MPC,102,-12.630142156473688,
offset_free_mpc_disturbance,OF-MPC,103,-12.630539940117378,
offset_free_mpc_disturbance,OF-MPC,104,-12.631624181589228,
offset_free_mpc_disturbance,OF-MPC,105,-12.632644114926547,
offset_free_mpc_disturbance,OF-MPC,106,-12.632595923442873,
offset_free_mpc_disturbance,OF-MPC,107,-12.633683484041873,
offset_free_mpc_disturbance,OF-MPC,108,-12.634729557410148,
offset_free_mpc_disturbance,OF-MPC,109,-12.635142091675773,
offset_free_mpc_disturbance,OF-MPC,110,-12.63542846458613,
offset_free_mpc_disturbance,OF-MPC,111,-12.637279455595444,
offset_free_mpc_disturbance,OF-MPC,112,-12.6380968382063,
offset_free_mpc_disturbance,OF-MPC,113,-12.638909873578918,
offset_free_mpc_disturbance,OF-MPC,114,-12.6399236152936,
offset_free_mpc_disturbance,OF-MPC,115,-12.640221291301357,
offset_free_mpc_disturbance,OF-MPC,116,-12.641125103853028,
offset_free_mpc_disturbance,OF-MPC,117,-12.641766944761915,
offset_free_mpc_disturbance,OF-MPC,118,-12.643682605252309,
offset_free_mpc_disturbance,OF-MPC,119,-12.64376403469325,
offset_free_mpc_disturbance,OF-MPC,120,-12.644572372294988,
